Nombre,Latitud,Longitud,Color,Etiqueta
agua camino,5.24977,-75.739105,2,
aguacate,5.2495193,-75.7377,1,
aguacate alto,5.2496777,-75.73795,0,
aguas negras,5.2495193,-75.7372,0,
aguita,5.24963,-75.73795,4,aguita
aguita,5.249576,-75.73796,4,aguita
aguita,5.249549,-75.737976,4,aguita
amarilla,5.2498636,-75.73729,3,amarilla_calera
amarilla,5.249915,-75.7373,3,amarilla_calera
amarilla,5.2498093,-75.737305,3,amarilla_calera
amarilla,5.2497907,-75.73734,3,amarilla_calera
amarilla,5.2496643,-75.73739,3,amarilla_calera
amarilla,5.2495975,-75.73742,3,amarilla_calera
amarilla,5.2495375,-75.73744,3,amarilla_calera
amarilla,5.249439,-75.73746,3,amarilla_calera
amarilla,5.249495,-75.737465,3,amarilla_calera
amarilla,5.2493844,-75.737495,3,amarilla_calera
amarilla,5.249359,-75.73751,3,amarilla_calera
amarilla,5.249301,-75.73754,3,amarilla_calera
amarilla,5.2493343,-75.73754,0,amarilla_calera
amarilla,5.2492323,-75.73762,3,amarilla_calera
amarilla,5.249199,-75.73764,3,amarilla_calera
amarilla,5.2499685,-75.737305,3,amarilla_norte-2
amarilla,5.2499585,-75.73736,3,amarilla_norte-2
amarilla,5.249945,-75.73745,3,amarilla_norte-2
amarilla,5.2499204,-75.7375,3,amarilla_norte-2
amarilla,5.2499056,-75.73752,3,amarilla_norte-2
amarilla,5.2498903,-75.73762,3,amarilla_norte-2
amarilla,5.2498937,-75.73766,3,amarilla_norte-2
amarilla,5.249793,-75.73702,3,cal_amarilla
amarilla,5.24984,-75.73703,3,cal_amarilla
amarilla,5.249742,-75.737045,3,cal_amarilla
amarilla,5.249661,-75.73708,3,cal_amarilla
amarilla,5.2496266,-75.73712,3,cal_amarilla
amarilla,5.24957,-75.73718,3,cal_amarilla
amarilla,5.249551,-75.737206,3,cal_amarilla
amarilla,5.2493873,-75.73722,3,cal_amarilla
amarilla,5.249406,-75.73723,3,cal_amarilla
amarilla,5.2494383,-75.73723,3,cal_amarilla
Amarilla-n-1,5.249787,-75.73887,3,amarilla_norte
Amarilla-n-2-bandera,5.249769,-75.73878,3,amarilla_norte
Amarilla-n-3,5.2497077,-75.73872,3,amarilla_norte
Amarilla-n-4,5.2496624,-75.73864,3,amarilla_norte
Amarilla-n-5,5.2496266,-75.73858,3,amarilla_norte
Amarilla-n-6,5.249585,-75.73849,3,amarilla_norte
Amarilla-n-7,5.2495465,-75.73837,3,amarilla_norte
amarillacamino,5.2494855,-75.73724,3,cal_amarilla
amarillalindero,5.2493014,-75.73727,3,cal_amarilla
antena,5.252102,-75.72754,5,
arbol talado,5.2496333,-75.73863,0,
bocadill9,5.2495513,-75.7385,1,
bordefalla,5.249458,-75.73823,6,falla
bordefalla,5.249419,-75.73826,6,falla
bordefalla,5.2494016,-75.73828,6,falla
bordefalla,5.2493677,-75.7383,6,falla
bordefalla,5.249328,-75.73832,6,falla
bordefalla,5.249307,-75.73833,6,falla
cacao,5.2498727,-75.737755,1,
cacao,5.249836,-75.737785,1,
cacao,5.2496815,-75.73788,1,
cacao,5.249685,-75.737946,1,
camino,5.249379,-75.73735,0,camino_nuevo
camino,5.2494006,-75.73737,0,camino_nuevo
camino,5.2493486,-75.737404,0,camino_nuevo
camino,5.249492,-75.737206,0,
